 101  57.0  -77.0 10 RICHMOND GULF QUE.    
 1309.0001  200.0000    7.0000    1.0000
 3451.0002  200.0000   20.0000    3.0000
 4760.0002  200.0000   24.0000    3.6000
 9520.0005  300.0000  168.0000   25.1000
 131  69.0  -82.0  7 IGLOOLIK IS. NWT.     
 1190.0001  200.0000    6.0000    2.0000
 2380.0001  200.0000   14.0000    3.0000
 3570.0002  200.0000   24.0000    5.0000
 4760.0002  200.0000   36.0000    6.0000
 5950.0003  200.0000   53.0000   13.0000
 7140.0003  200.0000   80.0000   20.0000
 8330.0004  200.0000  135.0000   20.2000
 132  69.0  -92.0  5 BOOTHIA PEN. NWT.     
 4760.0002  200.0000   22.0000    3.3000
 5950.0003  200.0000   29.0000    4.3000
 7140.0003  200.0000   40.0000    5.9000
 8330.0004  200.0000   52.0000    8.0000
 9520.0005  300.0000  100.0000   25.0000
 133  67.5 -107.0  8 BATHURST INLET NWT.   
 1190.0001  200.0000    1.0000    2.0000
 2380.0001  200.0000    8.0000    5.0000
 3570.0002  200.0000   16.0000    5.0000
 4760.0002  200.0000   27.0000    7.0000
 5950.0003  200.0000   44.0000   11.0000
 7140.0003  200.0000   65.0000   13.0000
 8330.0004  200.0000   95.0000   15.0000
 9520.0005  300.0000  145.0000   25.0000
 134  70.0 -133.0  4 TUKTOYAKTUK PEN. NWT. 
 4403.0002  200.0000  -20.5000    3.0000
 7854.0004  200.0000  -29.6000    4.4000
 9163.0004  300.0000  -41.7000    6.2000
10472.0005  300.0000  -41.9000    6.2000
 135  72.8  -93.6  6 S. SOMERSET IS.       
 4760.0002  200.0000   18.0000    3.0000
 5950.0003  200.0000   22.0000    5.0000
 7140.0003  200.0000   30.0000    5.0000
 8330.0004  200.0000   36.0000    6.0000
 9520.0005  300.0000   47.0000    7.0000
10710.0005  300.0000   90.0000   23.0000
 136  74.0  -93.7  9 N. SOMERSET IS.       
 1190.0001  200.0000    3.0000    2.0000
 2380.0001  200.0000    6.0000    2.0000
 3570.0002  200.0000    9.0000    3.0000
 4760.0002  200.0000   12.0000    4.0000
 5950.0003  200.0000   17.0000    5.0000
 7140.0003  200.0000   22.0000    6.0000
 8330.0004  200.0000   28.0000    7.0000
 9520.0005  300.0000   44.0000    8.0000
10710.0005  300.0000   92.0000   20.0000
 137  73.7  -99.0  4 N. PRINCE OF WALES IS.
11305.0005  300.0000   88.0000   13.1000
11662.0006  300.0000   95.0000   14.2000
12376.0006  400.0000  120.0000   17.9000
13090.0006  400.0000  133.0000   30.0000
 138  73.0 -111.0  3 N. VICTORIA IS.       
11781.0006  300.0000   41.0000    6.1000
13566.0007  400.0000   82.0000   12.2000
14042.0007  400.0000  105.0000   15.7000
 139  75.0 -109.0  6 S. MELVILLE IS.       
  714.0000  200.0000    1.6000    1.0000
 1428.0001  200.0000    1.8000    1.0000
 2023.0001  200.0000    1.8000    1.0000
11305.0005  300.0000   38.0000    5.6000
12495.0006  400.0000   60.0000    8.9000
13685.0007  400.0000   80.0000   11.9000
 140  76.0 -100.0  6 BATHURST IS.          
 4760.0002  200.0000   27.0000    8.0000
 5950.0003  200.0000   38.0000   12.0000
 7140.0003  200.0000   50.0000   16.0000
 8330.0004  200.0000   65.0000   18.0000
 9520.0005  300.0000   80.0000   20.0000
10710.0005  300.0000  120.0000   30.0000
 141  75.0  -95.0  6 CORNWALLIS IS.        
 4760.0002  200.0000   21.0000    6.0000
 5950.0003  200.0000   27.0000    7.0000
 7140.0003  200.0000   35.0000    8.0000
 8330.0004  200.0000   48.0000    9.0000
 9520.0005  300.0000   70.0000   13.0000
10710.0005  300.0000  110.0000   30.0000
 142  76.0  -90.0  1 BOAT PT. DEV.         
 6188.0003  200.0000   26.5000    3.9000
 143  75.6  -84.6  4 TRUELOVE INLET DEV.   
 2856.0001  200.0000    3.0000    1.0000
 3451.0002  200.0000    4.0000    1.0000
 6188.0003  200.0000   12.0000    1.8000
 9639.0005  300.0000   43.0000    6.4000
 144  76.5  -88.0  8 C. STORM ELL.         
 1190.0001  200.0000    3.0000    1.0000
 2380.0001  200.0000    6.0000    1.0000
 3570.0002  200.0000   10.0000    1.5000
 4760.0002  200.0000   13.5000    2.0000
 5950.0003  200.0000   21.0000    3.1000
 7140.0003  200.0000   30.0000    4.5000
 8330.0004  200.0000   40.0000    5.9000
 9520.0005  300.0000   59.0000    8.8000
 145  76.5  -84.0  7 S. CAPE FIORD ELL.    
 2380.0001  200.0000    4.5000    1.0000
 3570.0002  200.0000    8.0000    1.5000
 4760.0002  200.0000   13.5000    2.0000
 5950.0003  200.0000   20.0000    3.0000
 7140.0003  200.0000   25.5000    3.8000
 8330.0004  200.0000   38.0000    5.6000
 9520.0005  300.0000   57.0000    8.5000
 146  78.5  -86.0  8 BAY FIORD ELL.        
 1190.0001  200.0000    2.0000    1.0000
 2380.0001  200.0000    5.5000    2.0000
 3570.0002  200.0000   12.0000    3.0000
 4760.0002  200.0000   17.0000    4.0000
 5950.0003  200.0000   27.0000    5.0000
 7140.0003  200.0000   36.0000    8.0000
 8330.0004  200.0000   55.0000    8.2000
 9520.0005  300.0000   88.0000   13.1000
 147  80.0  -88.0  9 E. AXEL HEIBERG IS.   
 1190.0001  200.0000    5.0000    2.0000
 2380.0001  200.0000   11.0000    3.0000
 3570.0002  200.0000   18.0000    5.0000
 4760.0002  200.0000   24.0000    6.0000
 5950.0003  200.0000   35.0000    7.0000
 7140.0003  200.0000   45.0000    7.0000
 8330.0004  200.0000   61.0000    9.1000
 9520.0005  300.0000   93.0000   13.9000
10710.0005  300.0000  140.0000   30.0000
 148  81.0  -78.0  4 TANQUARY FIORD ELL.   
 4998.0002  200.0000    9.0000    1.3000
 6783.0003  200.0000   13.0000    2.0000
 7497.0004  200.0000   25.0000    5.0000
 8092.0004  200.0000   56.0000    8.3000
 149  81.2  -69.0  3 ARCHER FIORD ELL.     
 6545.0003  200.0000   50.0000    7.4000
 8211.0004  200.0000   88.0000   13.1000
13090.0006  400.0000   98.0000   14.6000
 150  81.5  -65.5  2 C. BAIRD ELL.         
 8806.0004  200.0000  102.0000   15.2000
12852.0006  400.0000  110.0000   16.4000
 151  81.7  -66.0  7 DISCOVERY HARBOUR ELL.
 4641.0002  300.0000   20.0000    3.0000
 5474.0003  200.0000   61.0000    9.1000
 7735.0004  200.0000   72.0000   10.7000
 8092.0004  200.0000   78.0000   11.6000
 8330.0004  300.0000   72.0000   10.7000
 8806.0004  200.0000   81.0000   12.1000
 9282.0004  300.0000  103.0000   15.4000
 152  82.5  -63.0  5 ALERT ELL.            
 1190.0001  200.0000    2.0000    1.0000
 2380.0001  200.0000    5.5000    1.0000
 5593.0003  200.0000   23.0000    3.4000
 6426.0003  200.0000   35.0000    5.2000
 8330.0004  200.0000   65.0000   10.0000
 153  82.6  -68.0  7 CLEM. MARKHAM INLET EL
 2618.0001  200.0000    6.0000    1.0000
 4998.0002  200.0000   21.0000    3.1000
 5474.0003  200.0000   22.5000    3.3000
 7616.0004  200.0000   43.0000    6.4000
 7973.0004  200.0000   59.0000    8.8000
 9282.0004  300.0000   72.0000   10.7000
10115.0005  300.0000   93.0000   13.9000
 154  83.1  -74.0  4 WARD HUNT IS. ELL.    
 5593.0003  200.0000    7.0000    3.0000
 7140.0003  200.0000   12.0000    3.0000
 8330.0004  200.0000   42.0000   10.0000
 9282.0004  300.0000   64.0000   12.0000
 155  82.6  -72.8 10 THORES R. ELL.        
 4760.0002  200.0000    2.0000    5.0000
 6783.0003  200.0000   21.0000   15.0000
 7735.0004  200.0000   23.0000   15.0000
 8211.0004  200.0000    6.0000   10.0000
 8449.0004  200.0000   32.0000   15.0000
 8687.0004  200.0000   33.0000   15.0000
 9282.0004  300.0000   66.0000   10.0000
 9520.0005  300.0000   66.0000   10.0000
 9758.0005  300.0000   66.0000   10.0000
12019.0006  400.0000   66.0000   10.0000
 156  82.8  -73.8  5 DISRAELI FIORD ELL.   
 5831.0003  200.0000   15.0000    3.0000
 6426.0003  200.0000    7.0000    3.0000
 7735.0004  200.0000   19.0000    7.0000
 9639.0005  300.0000   45.0000   20.0000
10472.0005  300.0000   46.0000   20.0000
 157  83.0  -75.7  1 RAMBOW HILL ELL.      
 7140.0003  200.0000   33.0000    4.9000
 158  82.6  -75.7  2 M'CLINTOCK INLET ELL. 
 9282.0004  300.0000   36.0000   10.0000
10591.0005  300.0000   84.0000   12.5000
 159  82.0  -85.0  6 PHILLIPS INLET ELL.   
 5117.0002  200.0000    9.0000    1.3000
 8449.0004  200.0000   58.0000   15.0000
 8925.0004  300.0000   55.0000   15.0000
 9282.0004  300.0000   54.0000   15.0000
 9520.0005  300.0000   54.0000   15.0000
 9877.0005  300.0000   67.0000   20.0000
 160  81.6  -60.2  6 HALL LAND GRL.        
 5593.0003  200.0000   10.0000    1.4000
 8806.0004  200.0000  102.0000   15.2000
 9758.0005  300.0000   56.0000    8.3000
10234.0005  300.0000   82.0000   12.2000
10710.0005  300.0000  105.0000   15.7000
11424.0005  300.0000  110.0000   16.4000
 161  76.8  -73.0  2 CAREY IS. GRL.        
 4046.0002  200.0000    1.5000    1.0000
 9401.0005  300.0000   20.0000    3.0000
 162  68.5  -51.5  4 DISKO BAY GRL.        
 8449.0004  200.0000   40.0000   10.0000
 9163.0004  300.0000   52.0000   14.0000
 9401.0005  300.0000   40.0000   17.0000
10591.0005  300.0000   70.0000   26.0000
 163  67.0  -50.2  9 SONDRE STOMFJORD GRL. 
 6664.0003  200.0000    5.0000    1.0000
 6902.0003  200.0000   11.0000    1.6000
 7854.0004  200.0000   20.0000    3.0000
 8568.0004  200.0000   42.0000    6.2000
 9163.0004  300.0000   59.0000    8.8000
 9877.0005  300.0000   95.0000   14.2000
 9996.0005  300.0000   92.0000   13.7000
10234.0005  300.0000  105.0000   15.7000
10353.0005  300.0000  115.0000   17.2000
 164  64.5  -50.5  2 KAPISIGDLIT GRL.      
 5117.0002  200.0000    8.0000    1.1000
 9044.0004  300.0000   40.0000   14.0000
 165  61.0  -46.7  1 JULIANEHAAB GRL.      
 9520.0005  300.0000    3.5000    1.0000
 166  72.0  -26.0  4 SKELDAL GRL.          
 6783.0003  600.0000    4.0000    1.0000
 8211.0004  600.0000   21.0000    6.0000
 9282.0004  600.0000   36.0000    5.3000
10472.0005  600.0000   59.0000    8.8000
 167  72.0  -24.0  6 MESTERS VIG GRL.      
  833.0000  600.0000    3.0000    1.0000
 3570.0002  600.0000    4.0000    1.0000
 6664.0003  600.0000    4.0000    1.0000
 8211.0004  600.0000    8.5000    1.2000
 8925.0004  600.0000   20.0000    3.0000
 9520.0005  600.0000   29.0000    4.3000
 168  80.1  -20.7  4 K. FREDERICK VIII LAND
 4046.0002  200.0000    7.0000    1.0000
