 101  57.0  -77.0 10 RICHMOND GULF QUE.    
12233.8537  400.0000   60.0000    8.9000
13388.9129  400.0000   80.0000   11.9000
 140  76.0 -100.0  6 BATHURST IS.          
 4387.7405  200.0000   27.0000    8.0000
 5721.0440  200.0000   38.0000   12.0000
 6860.0804  200.0000   50.0000   16.0000
 7818.8277  200.0000   65.0000   18.0000
 8857.1391  300.0000   80.0000   20.0000
10150.7392  300.0000  120.0000   30.0000
 141  75.0  -95.0  6 CORNWALLIS IS.        
 4387.7405  200.0000   21.0000    6.0000
 5721.0440  200.0000   27.0000    7.0000
 6860.0804  200.0000   35.0000    8.0000
 7818.8277  200.0000   48.0000    9.0000
 8857.1391  300.0000   70.0000   13.0000
10150.7392  300.0000  110.0000   30.0000
 142  76.0  -90.0  1 BOAT PT. DEV.         
 5979.3107  200.0000   26.5000    3.9000
 143  75.6  -84.6  4 TRUELOVE INLET DEV.   
 2455.3263  200.0000    3.0000    1.0000
 3035.7132  200.0000    4.0000    1.0000
 5979.3107  200.0000   12.0000    1.8000
 8969.2126  300.0000   43.0000    6.4000
 144  76.5  -88.0  8 C. STORM ELL.         
  969.9618  200.0000    3.0000    1.0000
 2020.9752  200.0000    6.0000    1.0000
 3153.6864  200.0000   10.0000    1.5000
 4387.7405  200.0000   13.5000    2.0000
 5721.0440  200.0000   21.0000    3.1000
 6860.0804  200.0000   30.0000    4.5000
 7818.8277  200.0000   40.0000    5.9000
 8857.1391  300.0000   59.0000    8.8000
 145  76.5  -84.0  7 S. CAPE FIORD ELL.    
 2020.9752  200.0000    4.5000    1.0000
 3153.6864  200.0000    8.0000    1.5000
 4387.7405  200.0000   13.5000    2.0000
 5721.0440  200.0000   20.0000    3.0000
 6860.0804  200.0000   25.5000    3.8000
 7818.8277  200.0000   38.0000    5.6000
 8857.1391  300.0000   57.0000    8.5000
 146  78.5  -86.0  8 BAY FIORD ELL.        
  969.9618  200.0000    2.0000    1.0000
 2020.9752  200.0000    5.5000    2.0000
 3153.6864  200.0000   12.0000    3.0000
 4387.7405  200.0000   17.0000    4.0000
 5721.0440  200.0000   27.0000    5.0000
 6860.0804  200.0000   36.0000    8.0000
 7818.8277  200.0000   55.0000    8.2000
 8857.1391  300.0000   88.0000   13.1000
 147  80.0  -88.0  9 E. AXEL HEIBERG IS.   
  969.9618  200.0000    5.0000    2.0000
 2020.9752  200.0000   11.0000    3.0000
 3153.6864  200.0000   18.0000    5.0000
 4387.7405  200.0000   24.0000    6.0000
 5721.0440  200.0000   35.0000    7.0000
 6860.0804  200.0000   45.0000    7.0000
 7818.8277  200.0000   61.0000    9.1000
 8857.1391  300.0000   93.0000   13.9000
10150.7392  300.0000  140.0000   30.0000
 148  81.0  -78.0  4 TANQUARY FIORD ELL.   
 4714.0168  200.0000    9.0000    1.3000
 6561.1294  200.0000   13.0000    2.0000
 7234.6788  200.0000   25.0000    5.0000
 7699.0798  200.0000   56.0000    8.3000
 149  81.2  -69.0  3 ARCHER FIORD ELL.     
 6361.8287  200.0000   50.0000    7.4000
 7758.9538  200.0000   88.0000   13.1000
12928.2251  400.0000   98.0000   14.6000
 150  81.5  -65.5  2 C. BAIRD ELL.         
 8173.9313  200.0000  102.0000   15.2000
12650.4765  400.0000  110.0000   16.4000
 151  81.7  -66.0  7 DISCOVERY HARBOUR ELL.
 4269.9924  300.0000   20.0000    3.0000
 5321.8088  200.0000   61.0000    9.1000
 7488.5985  200.0000   72.0000   10.7000
 7699.0798  200.0000   78.0000   11.6000
 7818.8277  300.0000   72.0000   10.7000
 8173.9313  200.0000   81.0000   12.1000
 8615.7850  300.0000  103.0000   15.4000
 152  82.5  -63.0  5 ALERT ELL.            
  969.9618  200.0000    2.0000    1.0000
 2020.9752  200.0000    5.5000    1.0000
 5421.6176  200.0000   23.0000    3.4000
 6245.1986  200.0000   35.0000    5.2000
 7818.8277  200.0000   65.0000   10.0000
 153  82.6  -68.0  7 CLEM. MARKHAM INLET EL
 2238.1508  200.0000    6.0000    1.0000
 4714.0168  200.0000   21.0000    3.1000
 5321.8088  200.0000   22.5000    3.3000
 7361.6386  200.0000   43.0000    6.4000
 7639.2059  200.0000   59.0000    8.8000
 8615.7850  300.0000   72.0000   10.7000
 9456.3677  300.0000   93.0000   13.9000
 154  83.1  -74.0  4 WARD HUNT IS. ELL.    
 5421.6176  200.0000    7.0000    3.0000
 6860.0804  200.0000   12.0000    3.0000
 7818.8277  200.0000   42.0000   10.0000
 8615.7850  300.0000   64.0000   12.0000
 155  82.6  -72.8 10 THORES R. ELL.        
 4387.7405  200.0000    2.0000    5.0000
 6561.1294  200.0000   21.0000   15.0000
 7488.5985  200.0000   23.0000   15.0000
 7758.9538  200.0000    6.0000   10.0000
 7902.5573  200.0000   32.0000   15.0000
 8083.4733  200.0000   33.0000   15.0000
 8615.7850  300.0000   66.0000   10.0000
 8857.1391  300.0000   66.0000   10.0000
 9081.2861  300.0000   66.0000   10.0000
11678.3565  400.0000   66.0000   10.0000
 156  82.8  -73.8  5 DISRAELI FIORD ELL.   
 5621.2352  200.0000   15.0000    3.0000
 6245.1986  200.0000    7.0000    3.0000
 7488.5985  200.0000   19.0000    7.0000
 8969.2126  300.0000   45.0000   20.0000
 9872.9906  300.0000   46.0000   20.0000
 157  83.0  -75.7  1 RAMBOW HILL ELL.      
